,Player,Team,DYAR,YAR,DVOA,VOA,QBR,Pass,Yards,EYds,TD,FK,FL,INT,C%,DPI,ALEX
0,Ryan,ATL,"1,885","1,765",39.1%,35.9%,83.3,573,"4,690","5,581",38,2,2,7,70.0%,10/171,-0.2
1,Brees,NO,"1,599","1,473",23.3%,20.6%,72.0,694,"4,987","5,909",37,0,4,14,71.1%,5/87,1.5
2,Cousins,WAS,"1,317","1,197",20.9%,18.0%,71.7,626,"4,738","5,102",25,3,2,12,67.3%,7/215,2.3
3,Prescott,DAL,"1,302","1,220",31.6%,28.9%,81.5,483,"3,527","4,229",23,2,4,4,68.1%,4/77,1.1
4,Brady,NE,"1,286","1,361",33.4%,36.0%,83.0,446,"3,447","4,072",28,2,0,2,67.8%,3/64,2.1
5,Rodgers,GB,"1,279","1,299",18.7%,19.2%,76.9,644,"4,175","5,198",40,2,2,6,66.0%,7/239,3.8
6,Carr,OAK,"1,164","1,038",19.8%,16.4%,62.1,575,"3,833","4,619",28,0,3,6,64.2%,19/287,1.0
7,Roethlisberger,PIT,807,790,12.1%,11.6%,66.3,524,"3,678","3,894",29,2,2,13,64.8%,8/121,4.2
8,Stafford,DET,761,768,7.2%,7.3%,70.5,628,"4,094","4,379",24,1,2,10,65.8%,13/162,1.7
9,Dalton,CIN,738,667,7.6%,5.8%,58.3,605,"3,915","4,165",18,5,2,8,65.0%,10/133,0.8
10,Luck,IND,719,671,7.3%,6.1%,71.2,586,"3,958","4,117",31,1,4,13,64.0%,10/230,1.5
11,Smith,KC,688,538,9.4%,4.9%,66.1,518,"3,372","3,635",16,1,4,8,67.3%,1/12,0.5
12,ayer,Team,DYAR,YAR,DVOA,VOA,QBR,Pass,Yards,EYds,TD,FK,FL,INT,C%,DPI,ALEX
13,Mariota,TEN,681,719,11.1%,12.4%,64.9,473,"3,252","3,392",26,1,3,9,61.7%,11/154,2.4
14,Wilson,SEA,569,599,4.0%,4.8%,63.2,592,"3,941","3,804",21,5,1,11,65.4%,8/170,0.9
15,Winston,TB,556,539,3.6%,3.1%,64.7,603,"3,824","3,820",28,2,5,16,61.0%,11/155,3.3
16,Bradford,MIN,510,571,2.2%,3.8%,49.2,589,"3,576","3,753",20,4,5,5,71.7%,6/87,-1.2
17,Rivers,SD,498,435,1.4%,-0.2%,64.5,615,"4,120","3,872",33,4,5,21,60.7%,9/98,1.3
18,Hoyer,CHI,404,506,19.4%,27.1%,61.1,204,"1,435","1,616",6,1,1,0,67.8%,2/32,1.3
19,Taylor,BUF,275,347,-2.1%,0.3%,68.2,477,"2,831","2,806",17,0,1,6,61.8%,5/110,2.6
20,Manning,NYG,188,192,-6.5%,-6.4%,51.8,620,"3,882","3,558",26,3,4,15,63.2%,9/85,2.9
21,Palmer,ARI,137,283,-7.8%,-4.3%,58.9,643,"3,908","3,549",26,9,4,14,61.7%,11/143,-0.1
22,Siemian,DEN,137,214,-7.1%,-4.8%,55.8,516,"3,182","2,891",18,1,2,9,59.6%,11/147,1.5
23,Bortles,JAC,52,3,-10.0%,-11.1%,49.2,662,"3,704","3,636",23,1,6,16,59.0%,18/313,1.7
24,Kessler,CLE,50,80,-7.6%,-5.4%,49.6,218,"1,225","1,196",6,3,1,2,66.0%,3/66,-0.8
25,ayer,Team,DYAR,YAR,DVOA,VOA,QBR,Pass,Yards,EYds,TD,FK,FL,INT,C%,DPI,ALEX
26,Tannehill,MIA,10,92,-10.8%,-7.7%,54.6,419,"2,743","2,155",19,6,2,12,67.6%,3/34,1.2
27,Barkley,CHI,4,127,-10.9%,-2.2%,39.2,222,"1,568","1,150",8,0,2,13,59.7%,4/104,4.3
28,Wentz,PHI,-36,12,-12.0%,-10.8%,52.8,641,"3,580","3,254",16,5,2,14,62.7%,6/100,0.2
29,Newton,CAR,-64,-64,-13.0%,-13.0%,53.1,543,"3,223","2,654",19,0,2,14,53.4%,6/95,3.5
30,Kaepernick,SF,-145,-99,-17.5%,-15.5%,55.2,366,"2,044","1,636",16,6,1,4,59.4%,2/22,0.4
31,Flacco,BAL,-155,-44,-14.6%,-12.1%,58.4,700,"4,055","3,422",20,2,3,14,65.7%,6/119,0.8
32,Keenum,LARM,-183,-174,-19.5%,-19.1%,43.4,345,"2,054","1,507",9,2,1,11,60.9%,5/84,0.7
33,Fitzpatrick,NYJ,-319,-329,-22.6%,-23.0%,45.4,423,"2,601","1,807",12,6,1,16,56.7%,8/131,1.7
34,Osweiler,HOU,-558,-502,-26.8%,-25.3%,55.3,535,"2,739","2,105",15,3,1,15,59.5%,8/110,0.6
35,Goff,LARM,-881,-819,-74.8%,-70.3%,22.2,230,876,-85,5,3,2,7,54.9%,2/22,-2.5
